evidence_id,alert_id,evidence_type,created_at,source,description,hash
EVD-00329,ALT-000150,PCAP Stream,2026-06-30 10:52:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-API-116 during investigation of DET-T1566-Phishing_32,e2f17a50c5197c29
EVD-00330,ALT-000150,Authentication Token,2026-06-30 11:08:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-API-116 during investigation of DET-T1566-Phishing_32,6872bdd2f4c78c84
EVD-00331,ALT-000150,Registry Modification,2026-06-30 10:52:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-116 during investigation of DET-T1566-Phishing_32,388b4e3185105dc1
EVD-00332,ALT-000150,Memory Extraction,2026-06-30 10:44:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-API-116 during investigation of DET-T1566-Phishing_32,7aab1b32f57cba12
EVD-00397,ALT-000180,Process Tree & Hash,2026-08-16 02:19:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DOMAIN-040 during investigation of DET-T1046-Network_Service_Discovery_36,9eca5ec69d596455
EVD-00398,ALT-000180,PCAP Stream,2026-08-16 02:33:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DOMAIN-040 during investigation of DET-T1046-Network_Service_Discovery_36,c3a312e137d2be89
EVD-00399,ALT-000180,Authentication Token,2026-08-16 02:31:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DOMAIN-040 during investigation of DET-T1046-Network_Service_Discovery_36,4726e2bdf0927374
EVD-00474,ALT-000212,Authentication Token,2026-08-12 16:56:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-WORKSTATION-275 during investigation of DET-T1566-Phishing_77,c8df23b5e3bea6ed
EVD-00475,ALT-000212,Registry Modification,2026-08-12 17:19:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-WORKSTATION-275 during investigation of DET-T1566-Phishing_77,453cd4ab80acf418
EVD-00476,ALT-000212,Memory Extraction,2026-08-12 17:15:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-WORKSTATION-275 during investigation of DET-T1566-Phishing_77,c9d9f7167c03fede
EVD-00477,ALT-000212,Process Tree & Hash,2026-08-12 17:21:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-WORKSTATION-275 during investigation of DET-T1566-Phishing_77,566c23075a92037c
EVD-00485,ALT-000215,Process Tree & Hash,2026-08-05 18:38:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-WORKSTATION-059 during investigation of DET-T1053-Scheduled_Task/Job_03,cfd831c380a526f1
EVD-00486,ALT-000215,PCAP Stream,2026-08-05 18:49:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-WORKSTATION-059 during investigation of DET-T1053-Scheduled_Task/Job_03,f229dc8f6adef645
EVD-00487,ALT-000215,Authentication Token,2026-08-05 19:03:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-WORKSTATION-059 during investigation of DET-T1053-Scheduled_Task/Job_03,d66988e44ee4bb12
EVD-00488,ALT-000215,Registry Modification,2026-08-05 18:55:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-WORKSTATION-059 during investigation of DET-T1053-Scheduled_Task/Job_03,e73977650eb892ec
EVD-00489,ALT-000215,Memory Extraction,2026-08-05 18:57:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-WORKSTATION-059 during investigation of DET-T1053-Scheduled_Task/Job_03,adef9021db6dc768
EVD-00505,ALT-000221,PCAP Stream,2026-09-04 06:45:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-API-228 during investigation of DET-T1053-Scheduled_Task/Job_63,49120ddf74cd47f5
EVD-00506,ALT-000221,Authentication Token,2026-09-04 06:41:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-API-228 during investigation of DET-T1053-Scheduled_Task/Job_63,b8b73200ba1d5936
EVD-00507,ALT-000221,Registry Modification,2026-09-04 06:50:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-228 during investigation of DET-T1053-Scheduled_Task/Job_63,1e0209e832cafff0
EVD-00508,ALT-000221,Memory Extraction,2026-09-04 06:54:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-API-228 during investigation of DET-T1053-Scheduled_Task/Job_63,4684bc323b80ea94
EVD-00535,ALT-000241,PCAP Stream,2026-07-14 13:16:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-WORKSTATION-331 during investigation of DET-T1562-Impair_Defenses_07,4f52cb88fefd66f3
EVD-00536,ALT-000241,Authentication Token,2026-07-14 13:34:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-WORKSTATION-331 during investigation of DET-T1562-Impair_Defenses_07,997d1247f2c08221
EVD-00537,ALT-000241,Registry Modification,2026-07-14 13:15:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-WORKSTATION-331 during investigation of DET-T1562-Impair_Defenses_07,9ce28a441953709b
EVD-00570,ALT-000257,Authentication Token,2026-07-04 15:29:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-WORKSTATION-475 during investigation of DET-T1046-Network_Service_Discovery_51,50d4d2bcd4a252b7
EVD-00571,ALT-000257,Registry Modification,2026-07-04 15:31:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-WORKSTATION-475 during investigation of DET-T1046-Network_Service_Discovery_51,5440ec42bd1aed2f
EVD-00572,ALT-000257,Memory Extraction,2026-07-04 15:40:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-WORKSTATION-475 during investigation of DET-T1046-Network_Service_Discovery_51,e286d50aacb712aa
EVD-00595,ALT-000271,PCAP Stream,2026-08-06 13:54:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-CLOUD-037 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100,8d3b044149643c5a
EVD-00596,ALT-000271,Authentication Token,2026-08-06 13:23:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-CLOUD-037 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100,e6e68e335aa4409c
EVD-00597,ALT-000271,Registry Modification,2026-08-06 13:38:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-CLOUD-037 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100,a587a378b04494d9
EVD-00598,ALT-000271,Memory Extraction,2026-08-06 13:36:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-CLOUD-037 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100,c2a5d3df91f2fb2c
EVD-00670,ALT-000299,Memory Extraction,2026-07-20 06:57:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-PAYMENT-402 during investigation of DET-T1059-Command_and_Scripting_Interpreter_61,7619a5f4b9855030
EVD-00671,ALT-000299,Process Tree & Hash,2026-07-20 07:21:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-PAYMENT-402 during investigation of DET-T1059-Command_and_Scripting_Interpreter_61,2426c0b4d418579a
EVD-00672,ALT-000299,PCAP Stream,2026-07-20 06:59:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-PAYMENT-402 during investigation of DET-T1059-Command_and_Scripting_Interpreter_61,7d63ea61f2c73c19
EVD-00673,ALT-000299,Authentication Token,2026-07-20 07:07:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-PAYMENT-402 during investigation of DET-T1059-Command_and_Scripting_Interpreter_61,42fd821046f1130a
EVD-00674,ALT-000299,Registry Modification,2026-07-20 07:26:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-PAYMENT-402 during investigation of DET-T1059-Command_and_Scripting_Interpreter_61,3f919d76d9d2972e
EVD-00786,ALT-000352,Authentication Token,2026-09-07 19:34:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DATABASE-065 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,3c1b5d3bdf9e1bf5
EVD-00787,ALT-000352,Registry Modification,2026-09-07 19:46:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-065 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,57f34e61740a961c
EVD-00788,ALT-000352,Memory Extraction,2026-09-07 19:36:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-065 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,435c04321c3bba5c
EVD-00789,ALT-000352,Process Tree & Hash,2026-09-07 19:42:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-065 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,323d833cc4299d1e
EVD-00790,ALT-000352,PCAP Stream,2026-09-07 20:01:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-065 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,4650f80e0e9a7d8d
EVD-00826,ALT-000367,Authentication Token,2026-08-28 18:06:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-FIREWALL-118 during investigation of DET-T1021-Remote_Services_49,b514e3f7060de14f
EVD-00827,ALT-000367,Registry Modification,2026-08-28 18:03:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-FIREWALL-118 during investigation of DET-T1021-Remote_Services_49,396b83a958b68a66
EVD-00828,ALT-000367,Memory Extraction,2026-08-28 18:08:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-FIREWALL-118 during investigation of DET-T1021-Remote_Services_49,51ad65e6d9aa4eec
EVD-00829,ALT-000367,Process Tree & Hash,2026-08-28 18:27:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-FIREWALL-118 during investigation of DET-T1021-Remote_Services_49,f0f5bd4b6fae989c
EVD-00830,ALT-000367,PCAP Stream,2026-08-28 17:59:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-FIREWALL-118 during investigation of DET-T1021-Remote_Services_49,a6c6ade1ff6e2797
EVD-00987,ALT-000430,Process Tree & Hash,2026-08-23 14:33:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-153 during investigation of DET-T1070-Indicator_Removal_on_Host_84,3b23b6f4b2c36a92
EVD-00988,ALT-000430,PCAP Stream,2026-08-23 14:45:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-153 during investigation of DET-T1070-Indicator_Removal_on_Host_84,3abdbf08c8bc3169
EVD-00989,ALT-000430,Authentication Token,2026-08-23 14:43:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DATABASE-153 during investigation of DET-T1070-Indicator_Removal_on_Host_84,bcc4a5b4933fa6dc
EVD-00990,ALT-000430,Registry Modification,2026-08-23 14:54:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-153 during investigation of DET-T1070-Indicator_Removal_on_Host_84,340b25c69bdf48ee
EVD-00991,ALT-000430,Memory Extraction,2026-08-23 14:40:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-153 during investigation of DET-T1070-Indicator_Removal_on_Host_84,db6dd75b861bfd01
EVD-00996,ALT-000433,Registry Modification,2026-06-15 12:02:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-340 during investigation of DET-T1110-Brute_Force_68,36aa9a1c4ec90e25
EVD-00997,ALT-000433,Memory Extraction,2026-06-15 11:33:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-API-340 during investigation of DET-T1110-Brute_Force_68,215d18e9b17cf0be
EVD-00998,ALT-000433,Process Tree & Hash,2026-06-15 11:37:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-API-340 during investigation of DET-T1110-Brute_Force_68,f59daabdfb1715bb
EVD-00999,ALT-000433,PCAP Stream,2026-06-15 11:57:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-API-340 during investigation of DET-T1110-Brute_Force_68,4359a976a71cab1a
EVD-01000,ALT-000433,Authentication Token,2026-06-15 11:50:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-API-340 during investigation of DET-T1110-Brute_Force_68,1a9f1618a03f98ac
EVD-01016,ALT-000444,Memory Extraction,2026-09-04 05:00:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-009 during investigation of DET-T1110-Brute_Force_53,1d5785e520f7e249
EVD-01017,ALT-000444,Process Tree & Hash,2026-09-04 05:05:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-009 during investigation of DET-T1110-Brute_Force_53,e53b723e468794ba
EVD-01018,ALT-000444,PCAP Stream,2026-09-04 05:01:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-009 during investigation of DET-T1110-Brute_Force_53,26561d81c1f47085
EVD-01019,ALT-000444,Authentication Token,2026-09-04 04:56:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DATABASE-009 during investigation of DET-T1110-Brute_Force_53,69ce8cb0af305ed1
EVD-01020,ALT-000444,Registry Modification,2026-09-04 05:00:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-009 during investigation of DET-T1110-Brute_Force_53,5381fb420ba480ca
EVD-01056,ALT-000462,Authentication Token,2026-07-01 18:53:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-PAYMENT-146 during investigation of DET-T1021-Remote_Services_79,77527eb37fbfa4ea
EVD-01057,ALT-000462,Registry Modification,2026-07-01 19:12:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-PAYMENT-146 during investigation of DET-T1021-Remote_Services_79,e5015aba8f53ffa4
EVD-01058,ALT-000462,Memory Extraction,2026-07-01 18:56:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-PAYMENT-146 during investigation of DET-T1021-Remote_Services_79,5bcd478867174a93
EVD-01059,ALT-000462,Process Tree & Hash,2026-07-01 19:07:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-PAYMENT-146 during investigation of DET-T1021-Remote_Services_79,31ffcc566f3493d1
EVD-01325,ALT-000565,Process Tree & Hash,2026-09-04 01:00:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-WORKSTATION-139 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70,0e82f9d085a15ba8
EVD-01326,ALT-000565,PCAP Stream,2026-09-04 01:04:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-WORKSTATION-139 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70,4a7ac132d20db8ee
EVD-01327,ALT-000565,Authentication Token,2026-09-04 01:05:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-WORKSTATION-139 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70,4baac516534ebf99
EVD-01501,ALT-000643,Registry Modification,2026-07-02 11:59:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-041 during investigation of DET-T1055-Process_Injection_72,447db2d56638cb2a
EVD-01502,ALT-000643,Memory Extraction,2026-07-02 11:51:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-041 during investigation of DET-T1055-Process_Injection_72,c3190d08fb1d84f0
EVD-01503,ALT-000643,Process Tree & Hash,2026-07-02 12:06:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-041 during investigation of DET-T1055-Process_Injection_72,2c09ad557b0d955b
EVD-01504,ALT-000643,PCAP Stream,2026-07-02 11:54:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-041 during investigation of DET-T1055-Process_Injection_72,7157a964ff96bf54
EVD-01577,ALT-000677,Authentication Token,2026-07-07 04:33:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-CLOUD-309 during investigation of DET-T1190-Exploit_Public-Facing_Application_44,76fb2759f680f073
EVD-01578,ALT-000677,Registry Modification,2026-07-07 04:57:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-CLOUD-309 during investigation of DET-T1190-Exploit_Public-Facing_Application_44,fd5c86eccd8736d9
EVD-01579,ALT-000677,Memory Extraction,2026-07-07 04:52:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-CLOUD-309 during investigation of DET-T1190-Exploit_Public-Facing_Application_44,e01cb4f1ea09338a
EVD-01648,ALT-000706,PCAP Stream,2026-08-16 10:17:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-IDENTITY-439 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,157cc11ffe71c9bb
EVD-01649,ALT-000706,Authentication Token,2026-08-16 10:15:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-IDENTITY-439 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,3f3fff9fd7789b9b
EVD-01650,ALT-000706,Registry Modification,2026-08-16 09:50:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-IDENTITY-439 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,a70cbe10bd62e209
EVD-01651,ALT-000706,Memory Extraction,2026-08-16 09:51:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-IDENTITY-439 during investigation of DET-T1567-Exfiltration_Over_Web_Service_25,d7d8968f55631006
EVD-01882,ALT-000817,Authentication Token,2026-07-19 18:59:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-CLOUD-053 during investigation of DET-T1053-Scheduled_Task/Job_03,d190fa5f59c160b9
EVD-01883,ALT-000817,Registry Modification,2026-07-19 19:09:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-CLOUD-053 during investigation of DET-T1053-Scheduled_Task/Job_03,cef761eb155911f5
EVD-01884,ALT-000817,Memory Extraction,2026-07-19 19:20:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-CLOUD-053 during investigation of DET-T1053-Scheduled_Task/Job_03,4f307c5c9175a948
EVD-01885,ALT-000818,Registry Modification,2026-08-23 04:22:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-036 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16,930dd9a08189aebc
EVD-01886,ALT-000818,Memory Extraction,2026-08-23 04:48:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-API-036 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16,6e50f8a0e1acc139
EVD-01887,ALT-000818,Process Tree & Hash,2026-08-23 04:28:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-API-036 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16,c0ea78a6fde78669
EVD-01888,ALT-000818,PCAP Stream,2026-08-23 04:19:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-API-036 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16,10601f9a320e394e
EVD-01990,ALT-000865,Process Tree & Hash,2026-08-21 06:41:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-PAYMENT-450 during investigation of DET-T1110-Brute_Force_83,5bfe4c8031700e6d
EVD-01991,ALT-000865,PCAP Stream,2026-08-21 06:30:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-PAYMENT-450 during investigation of DET-T1110-Brute_Force_83,9de515c3b67b187e
EVD-01992,ALT-000865,Authentication Token,2026-08-21 06:39:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-PAYMENT-450 during investigation of DET-T1110-Brute_Force_83,7edfd76e8a0def23
EVD-01993,ALT-000865,Registry Modification,2026-08-21 06:49:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-PAYMENT-450 during investigation of DET-T1110-Brute_Force_83,da26f823cc34e5ad
EVD-02006,ALT-000870,Process Tree & Hash,2026-09-10 08:23:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-121 during investigation of DET-T1090-Proxy_13,0faac4d32fcd6d21
EVD-02007,ALT-000870,PCAP Stream,2026-09-10 08:28:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-121 during investigation of DET-T1090-Proxy_13,987183c32acc8939
EVD-02008,ALT-000870,Authentication Token,2026-09-10 08:32:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DATABASE-121 during investigation of DET-T1090-Proxy_13,60a944d6f4295708
EVD-02009,ALT-000870,Registry Modification,2026-09-10 08:14:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-121 during investigation of DET-T1090-Proxy_13,bc24df63c4d05b52
EVD-02466,ALT-001065,Process Tree & Hash,2026-08-15 08:25:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-IDENTITY-071 during investigation of DET-T1070-Indicator_Removal_on_Host_69,753d4abc4d70d8f7
EVD-02467,ALT-001065,PCAP Stream,2026-08-15 08:28:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-IDENTITY-071 during investigation of DET-T1070-Indicator_Removal_on_Host_69,370194499a736169
EVD-02468,ALT-001065,Authentication Token,2026-08-15 08:19:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-IDENTITY-071 during investigation of DET-T1070-Indicator_Removal_on_Host_69,847b6b3cf4a2c680
EVD-02485,ALT-001071,PCAP Stream,2026-08-19 20:58:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-API-100 during investigation of DET-T1053-Scheduled_Task/Job_03,4cb94247600a8f6b
EVD-02486,ALT-001071,Authentication Token,2026-08-19 21:03:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-API-100 during investigation of DET-T1053-Scheduled_Task/Job_03,56c5be2371be4a1e
EVD-02487,ALT-001071,Registry Modification,2026-08-19 20:56:00,Active Directory Security Log 4624,Verified Registry Modification captured from AST-API-100 during investigation of DET-T1053-Scheduled_Task/Job_03,437b06773f345307
EVD-02506,ALT-001079,Memory Extraction,2026-07-09 05:55:00,CloudTrail API Audit,Verified Memory Extraction captured from AST-IDENTITY-495 during investigation of DET-T1003-OS_Credential_Dumping_20,a8287abdcf2b6785
EVD-02507,ALT-001079,Process Tree & Hash,2026-07-09 05:48:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from AST-IDENTITY-495 during investigation of DET-T1003-OS_Credential_Dumping_20,ab161b247cc079e7
EVD-02508,ALT-001079,PCAP Stream,2026-07-09 05:52:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-IDENTITY-495 during investigation of DET-T1003-OS_Credential_Dumping_20,8fcf015d33641d7a
EVD-02574,ALT-001111,PCAP Stream,2026-08-20 10:11:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from SRV-DATABASE-273 during investigation of DET-T1059-Command_and_Scripting_Interpreter_46,d6db8f862a54ec87
EVD-02575,ALT-001111,Authentication Token,2026-08-20 10:19:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from SRV-DATABASE-273 during investigation of DET-T1059-Command_and_Scripting_Interpreter_46,932de6b6c74192b6
EVD-02576,ALT-001111,Registry Modification,2026-08-20 10:16:00,Active Directory Security Log 4624,Verified Registry Modification captured from SRV-DATABASE-273 during investigation of DET-T1059-Command_and_Scripting_Interpreter_46,79b67fb3cca11f21
EVD-02577,ALT-001111,Memory Extraction,2026-08-20 10:23:00,CloudTrail API Audit,Verified Memory Extraction captured from SRV-DATABASE-273 during investigation of DET-T1059-Command_and_Scripting_Interpreter_46,bcef128299d02cc4
EVD-02578,ALT-001111,Process Tree & Hash,2026-08-20 10:10:00,EDR Sensor (CrowdStrike/Defender),Verified Process Tree & Hash captured from SRV-DATABASE-273 during investigation of DET-T1059-Command_and_Scripting_Interpreter_46,280b27ced18672ec
EVD-02643,ALT-001136,PCAP Stream,2026-08-04 04:48:00,Network Packet Broker (Zeek),Verified PCAP Stream captured from AST-IDENTITY-335 during investigation of DET-T1003-OS_Credential_Dumping_95,8a812cec04916171
EVD-02644,ALT-001136,Authentication Token,2026-08-04 04:29:00,Firewall Syslog (PaloAlto),Verified Authentication Token captured from AST-IDENTITY-335 during investigation of DET-T1003-OS_Credential_Dumping_95,5b2ca73d5aac8d9e
