evidence_id,alert_id,evidence_type,created_at,source,description,hash
EVD-00014,ALT-000006,Memory Extraction,2026-07-16 06:14:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DOMAIN-136 during investigation of DET-T1059-Command_and_Scripting_Interpreter_01",d0ac2be37bc62e85
EVD-00015,ALT-000009,Memory Extraction,2026-08-15 01:51:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DOMAIN-232 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16",3aaa851c4a386c7b
EVD-00016,ALT-000009,Process Tree & Hash,2026-08-15 02:11:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DOMAIN-232 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16",a327bb2b1493d648
EVD-00017,ALT-000009,PCAP Stream,2026-08-15 02:09:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DOMAIN-232 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16",9679b8921511d951
EVD-00018,ALT-000009,Authentication Token,2026-08-15 01:50:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DOMAIN-232 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16",eae21ae620f5db0c
EVD-00019,ALT-000009,Registry Modification,2026-08-15 01:56:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DOMAIN-232 during investigation of DET-T1059-Command_and_Scripting_Interpreter_16",4c04ea1b4b0ed158
EVD-00020,ALT-000010,Process Tree & Hash,2026-06-23 21:21:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-API-132 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",920529dd91d246ef
EVD-00021,ALT-000010,PCAP Stream,2026-06-23 21:13:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-API-132 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",1a631aecd9e5897e
EVD-00022,ALT-000010,Authentication Token,2026-06-23 21:31:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-API-132 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",0de93a8629541e57
EVD-00023,ALT-000010,Registry Modification,2026-06-23 21:21:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-API-132 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",b92fd2ec11063014
EVD-00024,ALT-000010,Memory Extraction,2026-06-23 21:31:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-API-132 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",4c9e01b95ffbb27f
EVD-00025,ALT-000011,PCAP Stream,2026-07-14 19:35:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-CLOUD-109 during investigation of DET-T1110-Brute_Force_53",08354f748f39dbce
EVD-00026,ALT-000011,Authentication Token,2026-07-14 19:31:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-CLOUD-109 during investigation of DET-T1110-Brute_Force_53",09bfa82d93c8bd03
EVD-00027,ALT-000011,Registry Modification,2026-07-14 19:16:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-CLOUD-109 during investigation of DET-T1110-Brute_Force_53",59457e65ec443851
EVD-00028,ALT-000011,Memory Extraction,2026-07-14 19:25:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-CLOUD-109 during investigation of DET-T1110-Brute_Force_53",83de168b90c44be2
EVD-00029,ALT-000011,Process Tree & Hash,2026-07-14 19:22:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-CLOUD-109 during investigation of DET-T1110-Brute_Force_53",2096c2a9fa391e6e
EVD-00030,ALT-000012,Authentication Token,2026-08-27 21:30:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-IDENTITY-143 during investigation of DET-T1078-Valid_Accounts_60",69a232b57d71eebb
EVD-00031,ALT-000012,Registry Modification,2026-08-27 21:35:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-IDENTITY-143 during investigation of DET-T1078-Valid_Accounts_60",b922a28f9da03093
EVD-00032,ALT-000012,Memory Extraction,2026-08-27 21:33:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-IDENTITY-143 during investigation of DET-T1078-Valid_Accounts_60",6638fb2dadbf2f82
EVD-00033,ALT-000012,Process Tree & Hash,2026-08-27 21:41:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-IDENTITY-143 during investigation of DET-T1078-Valid_Accounts_60",36bac80d5f5c90bc
EVD-00034,ALT-000012,PCAP Stream,2026-08-27 21:43:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-IDENTITY-143 during investigation of DET-T1078-Valid_Accounts_60",4c0fab78b3f3a6e1
EVD-00035,ALT-000015,Process Tree & Hash,2026-09-03 09:30:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75",d8f179e6e54a7dc8
EVD-00036,ALT-000015,PCAP Stream,2026-09-03 09:24:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75",242258f49162502c
EVD-00037,ALT-000015,Authentication Token,2026-09-03 09:22:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75",b479bc959680073b
EVD-00038,ALT-000015,Registry Modification,2026-09-03 09:30:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75",7a5a3732a4a6c542
EVD-00039,ALT-000015,Memory Extraction,2026-09-03 09:23:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-IDENTITY-015 during investigation of DET-T1078-Valid_Accounts_75",6e4170484e6205c6
EVD-00040,ALT-000018,Registry Modification,2026-08-05 08:29:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",8baf11b25ac0ba4f
EVD-00041,ALT-000018,Memory Extraction,2026-08-05 08:27:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",7660a33590d0603b
EVD-00042,ALT-000018,Process Tree & Hash,2026-08-05 08:36:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",a817c62278b897ca
EVD-00043,ALT-000018,PCAP Stream,2026-08-05 08:39:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DATABASE-081 during investigation of DET-T1059-Command_and_Scripting_Interpreter_31",9990f01cb69a0c11
EVD-00044,ALT-000019,Memory Extraction,2026-08-10 22:42:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DATABASE-073 during investigation of DET-T1046-Network_Service_Discovery_21",12efa2ac5fa1717e
EVD-00045,ALT-000019,Process Tree & Hash,2026-08-10 22:38:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DATABASE-073 during investigation of DET-T1046-Network_Service_Discovery_21",7ff591a027fbcf61
EVD-00046,ALT-000019,PCAP Stream,2026-08-10 22:30:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DATABASE-073 during investigation of DET-T1046-Network_Service_Discovery_21",a15ffad5412a04bd
EVD-00047,ALT-000019,Authentication Token,2026-08-10 22:42:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DATABASE-073 during investigation of DET-T1046-Network_Service_Discovery_21",bb2215c0bbdffe20
EVD-00048,ALT-000019,Registry Modification,2026-08-10 22:24:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DATABASE-073 during investigation of DET-T1046-Network_Service_Discovery_21",dd3cc588cdec0091
EVD-00049,ALT-000023,Registry Modification,2026-07-27 01:12:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-WORKSTATION-283 during investigation of DET-T1059-Command_and_Scripting_Interpreter_91",65523f84808ac334
EVD-00050,ALT-000023,Memory Extraction,2026-07-27 01:10:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-WORKSTATION-283 during investigation of DET-T1059-Command_and_Scripting_Interpreter_91",0028f7fa2df8df88
EVD-00051,ALT-000023,Process Tree & Hash,2026-07-27 00:44:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-WORKSTATION-283 during investigation of DET-T1059-Command_and_Scripting_Interpreter_91",570f51244fd4d96c
EVD-00052,ALT-000023,PCAP Stream,2026-07-27 01:02:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-WORKSTATION-283 during investigation of DET-T1059-Command_and_Scripting_Interpreter_91",11a763dc2597bdd4
EVD-00053,ALT-000023,Authentication Token,2026-07-27 00:43:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-WORKSTATION-283 during investigation of DET-T1059-Command_and_Scripting_Interpreter_91",7b197e42132a1646
EVD-00054,ALT-000024,Memory Extraction,2026-06-19 11:38:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-PAYMENT-498 during investigation of DET-T1046-Network_Service_Discovery_06",8b7dbfbfedb702cf
EVD-00055,ALT-000024,Process Tree & Hash,2026-06-19 11:44:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-PAYMENT-498 during investigation of DET-T1046-Network_Service_Discovery_06",78eb14a5374a58ff
EVD-00056,ALT-000024,PCAP Stream,2026-06-19 11:39:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-PAYMENT-498 during investigation of DET-T1046-Network_Service_Discovery_06",ea6a39b463ed43be
EVD-00057,ALT-000024,Authentication Token,2026-06-19 11:40:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-PAYMENT-498 during investigation of DET-T1046-Network_Service_Discovery_06",b5fabd1d92200f34
EVD-00058,ALT-000025,Process Tree & Hash,2026-08-21 16:26:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DATABASE-401 during investigation of DET-T1110-Brute_Force_53",89f68219aca3611c
EVD-00059,ALT-000025,PCAP Stream,2026-08-21 16:18:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DATABASE-401 during investigation of DET-T1110-Brute_Force_53",f892a903e4e20421
EVD-00060,ALT-000025,Authentication Token,2026-08-21 16:17:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DATABASE-401 during investigation of DET-T1110-Brute_Force_53",466c123560159d02
EVD-00061,ALT-000025,Registry Modification,2026-08-21 16:25:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DATABASE-401 during investigation of DET-T1110-Brute_Force_53",f439a42d7eb3debd
EVD-00062,ALT-000025,Memory Extraction,2026-08-21 16:22:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DATABASE-401 during investigation of DET-T1110-Brute_Force_53",d84551860b4fdf72
EVD-00063,ALT-000027,Authentication Token,2026-07-29 22:20:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83",7622b56b4b5aad58
EVD-00064,ALT-000027,Registry Modification,2026-07-29 22:33:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83",acb7863a999ce66f
EVD-00065,ALT-000027,Memory Extraction,2026-07-29 22:23:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-API-180 during investigation of DET-T1110-Brute_Force_83",70ec551334c72085
EVD-00066,ALT-000032,Authentication Token,2026-08-01 20:05:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-PAYMENT-098 during investigation of DET-T1055-Process_Injection_87",cc700a12f7cbd97c
EVD-00067,ALT-000032,Registry Modification,2026-08-01 20:06:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-PAYMENT-098 during investigation of DET-T1055-Process_Injection_87",23743a11b2635923
EVD-00068,ALT-000032,Memory Extraction,2026-08-01 20:07:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-PAYMENT-098 during investigation of DET-T1055-Process_Injection_87",ab0a6fa25c6cb0ea
EVD-00069,ALT-000034,Memory Extraction,2026-07-11 07:53:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-WORKSTATION-163 during investigation of DET-T1003-OS_Credential_Dumping_80",7103c16ad52d3a4b
EVD-00070,ALT-000034,Process Tree & Hash,2026-07-11 07:54:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-WORKSTATION-163 during investigation of DET-T1003-OS_Credential_Dumping_80",239cab4dabc0e187
EVD-00071,ALT-000034,PCAP Stream,2026-07-11 08:07:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-WORKSTATION-163 during investigation of DET-T1003-OS_Credential_Dumping_80",8b739ddc8f0f1acb
EVD-00072,ALT-000036,PCAP Stream,2026-08-19 12:43:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-API-028 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",001bc432bbb80707
EVD-00073,ALT-000036,Authentication Token,2026-08-19 12:54:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-API-028 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",51515d2ddc0aa224
EVD-00074,ALT-000036,Registry Modification,2026-08-19 12:44:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-API-028 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",d83700b6bdef33db
EVD-00075,ALT-000039,Memory Extraction,2026-07-26 14:07:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-FIREWALL-134 during investigation of DET-T1053-Scheduled_Task/Job_63",9b95a257ac85522d
EVD-00076,ALT-000039,Process Tree & Hash,2026-07-26 14:09:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-FIREWALL-134 during investigation of DET-T1053-Scheduled_Task/Job_63",5e64d83ef5919667
EVD-00077,ALT-000039,PCAP Stream,2026-07-26 14:09:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-FIREWALL-134 during investigation of DET-T1053-Scheduled_Task/Job_63",03dab935556d53d9
EVD-00078,ALT-000039,Authentication Token,2026-07-26 14:12:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-FIREWALL-134 during investigation of DET-T1053-Scheduled_Task/Job_63",3448cdcd27b02d18
EVD-00079,ALT-000040,Process Tree & Hash,2026-07-08 10:30:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-CLOUD-085 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70",056dc1128e74284d
EVD-00080,ALT-000040,PCAP Stream,2026-07-08 10:18:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-CLOUD-085 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70",ce4169ceab3936d2
EVD-00081,ALT-000040,Authentication Token,2026-07-08 10:24:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-CLOUD-085 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70",f18b80116982848d
EVD-00082,ALT-000040,Registry Modification,2026-07-08 09:54:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-CLOUD-085 during investigation of DET-T1567-Exfiltration_Over_Web_Service_70",e1c06c4c1aff4632
EVD-00083,ALT-000042,Authentication Token,2026-07-20 00:11:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DOMAIN-008 during investigation of DET-T1003-OS_Credential_Dumping_50",c66988004033d3c5
EVD-00084,ALT-000042,Registry Modification,2026-07-19 23:47:00,Active Directory Security Log 4624,"Verified Registry Modification captured from SRV-DOMAIN-008 during investigation of DET-T1003-OS_Credential_Dumping_50",6843ad88a62d098f
EVD-00085,ALT-000042,Memory Extraction,2026-07-19 23:51:00,CloudTrail API Audit,"Verified Memory Extraction captured from SRV-DOMAIN-008 during investigation of DET-T1003-OS_Credential_Dumping_50",dc265074df3725d9
EVD-00086,ALT-000042,Process Tree & Hash,2026-07-20 00:13:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DOMAIN-008 during investigation of DET-T1003-OS_Credential_Dumping_50",2b0b4c213119f569
EVD-00087,ALT-000043,Registry Modification,2026-08-30 03:41:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-IDENTITY-055 during investigation of DET-T1190-Exploit_Public-Facing_Application_59",da49a03fdd1b9b93
EVD-00088,ALT-000043,Memory Extraction,2026-08-30 03:26:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-IDENTITY-055 during investigation of DET-T1190-Exploit_Public-Facing_Application_59",95ef4d256bcb3584
EVD-00089,ALT-000043,Process Tree & Hash,2026-08-30 03:43:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-IDENTITY-055 during investigation of DET-T1190-Exploit_Public-Facing_Application_59",171e190ef17e78a7
EVD-00090,ALT-000043,PCAP Stream,2026-08-30 03:27:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-IDENTITY-055 during investigation of DET-T1190-Exploit_Public-Facing_Application_59",a9e674d5601084aa
EVD-00091,ALT-000044,Memory Extraction,2026-07-20 14:58:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-CLOUD-021 during investigation of DET-T1562-Impair_Defenses_97",fa73815a50521495
EVD-00092,ALT-000044,Process Tree & Hash,2026-07-20 15:20:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-CLOUD-021 during investigation of DET-T1562-Impair_Defenses_97",4964e1d575625f3f
EVD-00093,ALT-000044,PCAP Stream,2026-07-20 14:57:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-CLOUD-021 during investigation of DET-T1562-Impair_Defenses_97",ea552046a23c160a
EVD-00094,ALT-000044,Authentication Token,2026-07-20 15:26:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-CLOUD-021 during investigation of DET-T1562-Impair_Defenses_97",dad66dd212d9231f
EVD-00095,ALT-000044,Registry Modification,2026-07-20 15:03:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-CLOUD-021 during investigation of DET-T1562-Impair_Defenses_97",4538b345dd7169d6
EVD-00096,ALT-000045,Process Tree & Hash,2026-07-26 02:17:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-FIREWALL-030 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",820e454087d42ddd
EVD-00097,ALT-000045,PCAP Stream,2026-07-26 02:01:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-FIREWALL-030 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",d90156d3885b5e3e
EVD-00098,ALT-000045,Authentication Token,2026-07-26 01:57:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-FIREWALL-030 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",68cd67caa08848a6
EVD-00099,ALT-000045,Registry Modification,2026-07-26 02:13:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-FIREWALL-030 during investigation of DET-T1567-Exfiltration_Over_Web_Service_100",cc089a08163046b6
EVD-00100,ALT-000047,Authentication Token,2026-06-19 09:07:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-WORKSTATION-339 during investigation of DET-T1053-Scheduled_Task/Job_48",f98d9dcf651561f9
EVD-00101,ALT-000047,Registry Modification,2026-06-19 08:47:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-WORKSTATION-339 during investigation of DET-T1053-Scheduled_Task/Job_48",9f31903346ac5ab8
EVD-00102,ALT-000047,Memory Extraction,2026-06-19 09:05:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-WORKSTATION-339 during investigation of DET-T1053-Scheduled_Task/Job_48",1bbfcbaa524c91fd
EVD-00103,ALT-000049,Memory Extraction,2026-09-02 20:52:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-IDENTITY-375 during investigation of DET-T1059-Command_and_Scripting_Interpreter_76",6df7b9e7e8abdf87
EVD-00104,ALT-000049,Process Tree & Hash,2026-09-02 20:53:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-IDENTITY-375 during investigation of DET-T1059-Command_and_Scripting_Interpreter_76",74a4074ff7220d73
EVD-00105,ALT-000049,PCAP Stream,2026-09-02 20:46:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-IDENTITY-375 during investigation of DET-T1059-Command_and_Scripting_Interpreter_76",d0d42c150d1e89a0
EVD-00106,ALT-000049,Authentication Token,2026-09-02 20:44:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-IDENTITY-375 during investigation of DET-T1059-Command_and_Scripting_Interpreter_76",ed54e6e175e0a967
EVD-00107,ALT-000050,Process Tree & Hash,2026-06-17 05:42:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-FIREWALL-094 during investigation of DET-T1053-Scheduled_Task/Job_63",37591432d1f0d30b
EVD-00108,ALT-000050,PCAP Stream,2026-06-17 06:15:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-FIREWALL-094 during investigation of DET-T1053-Scheduled_Task/Job_63",4e4e15508941629d
EVD-00109,ALT-000050,Authentication Token,2026-06-17 05:54:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-FIREWALL-094 during investigation of DET-T1053-Scheduled_Task/Job_63",b107838a3b2bf6e8
EVD-00110,ALT-000050,Registry Modification,2026-06-17 05:47:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-FIREWALL-094 during investigation of DET-T1053-Scheduled_Task/Job_63",08bca432228626bd
EVD-00111,ALT-000050,Memory Extraction,2026-06-17 05:57:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-FIREWALL-094 during investigation of DET-T1053-Scheduled_Task/Job_63",0be831faaea8f269
EVD-00112,ALT-000052,Authentication Token,2026-06-15 06:45:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40",bb0ab19f04a51d47
EVD-00113,ALT-000052,Registry Modification,2026-06-15 06:37:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40",11f4a00bebaf6e05
EVD-00114,ALT-000052,Memory Extraction,2026-06-15 06:31:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40",0534e2a6974e5dff
EVD-00115,ALT-000052,Process Tree & Hash,2026-06-15 06:32:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from AST-IDENTITY-063 during investigation of DET-T1567-Exfiltration_Over_Web_Service_40",3ce39337cce08272
EVD-00116,ALT-000055,Process Tree & Hash,2026-07-30 15:35:00,EDR Sensor (CrowdStrike/Defender),"Verified Process Tree & Hash captured from SRV-DOMAIN-152 during investigation of DET-T1078-Valid_Accounts_30",f0369718e5ce0f4e
EVD-00117,ALT-000055,PCAP Stream,2026-07-30 15:30:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from SRV-DOMAIN-152 during investigation of DET-T1078-Valid_Accounts_30",52a19cb701e4eaa0
EVD-00118,ALT-000055,Authentication Token,2026-07-30 15:41:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from SRV-DOMAIN-152 during investigation of DET-T1078-Valid_Accounts_30",c009ea98810a46b9
EVD-00119,ALT-000056,PCAP Stream,2026-06-29 21:11:00,Network Packet Broker (Zeek),"Verified PCAP Stream captured from AST-WORKSTATION-123 during investigation of DET-T1055-Process_Injection_57",d6e52eceec859d0b
EVD-00120,ALT-000056,Authentication Token,2026-06-29 21:14:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-WORKSTATION-123 during investigation of DET-T1055-Process_Injection_57",2d3fb10243259bfa
EVD-00121,ALT-000056,Registry Modification,2026-06-29 21:01:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-WORKSTATION-123 during investigation of DET-T1055-Process_Injection_57",5e1139a6f180e56e
EVD-00122,ALT-000056,Memory Extraction,2026-06-29 21:17:00,CloudTrail API Audit,"Verified Memory Extraction captured from AST-WORKSTATION-123 during investigation of DET-T1055-Process_Injection_57",8ea9889e287e4a26
EVD-00123,ALT-000057,Authentication Token,2026-07-08 05:37:00,Firewall Syslog (PaloAlto),"Verified Authentication Token captured from AST-FIREWALL-486 during investigation of DET-T1070-Indicator_Removal_on_Host_39",c3f96d41e3b544e4
EVD-00124,ALT-000057,Registry Modification,2026-07-08 05:39:00,Active Directory Security Log 4624,"Verified Registry Modification captured from AST-FIREWALL-486 during investigation of DET-T1070-Indicator_Removal_on_Host_39",affefa05fa5b0b6e
